5701,普通,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,05:20,05:25,05:28,05:31,05:34,05:37
5703,普通,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,05:39,05:44,05:47,05:50,05:54,05:56
5001,普通,05:08,05:10,05:13,05:16,05:19,05:22,05:24,05:28,05:31,05:34,05:36,05:39,05:42,05:44,05:49,05:54,05:57,06:00,06:03,06:06
5003,普通,05:30,05:32,05:35,05:38,05:41,05:44,05:46,05:49,05:53,05:55,05:58,06:01,06:04,06:06,06:12,06:16,06:20,06:23,06:26,06:28
5005,普通,05:42,05:45,05:47,05:50,05:53,05:56,05:58,06:02,06:05,06:08,06:10,06:17,06:20,06:22,06:28,06:32,06:36,06:39,06:42,06:45
3001,快速,05:50,05:53,05:55,05:58,06:01,↓,↓,↓,↓,06:11,↓,06:15,↓,↓,06:23,↓,↓,↓,↓,06:35
5201,普通,05:55,05:58,06:00,06:03,06:06,06:09,06:11,06:15,06:18,06:21,06:23,06:26,06:29,06:31,・・,・・,・・,・・,・・,・・
4001,区快,06:06,06:08,06:11,06:14,06:17,↓,↓,06:23,06:26,06:29,↓,06:33,06:36,↓,06:42,06:47,06:50,06:53,06:56,06:59
5203,普通,06:09,06:12,06:14,06:17,06:20,06:23,06:25,06:29,06:32,06:35,06:37,06:40,06:43,06:45,・・,・・,・・,・・,・・,・・
4003,区快,06:17,06:20,06:22,06:25,06:28,↓,↓,06:36,06:39,06:43,↓,06:47,06:50,↓,06:56,07:00,07:04,07:07,07:10,07:12
5007,普通,06:20,06:22,06:25,06:28,06:31,06:34,06:36,06:39,06:43,06:45,06:48,06:51,06:54,06:56,07:04,07:10,07:14,07:17,07:20,07:22
3003,快速,06:28,06:31,06:34,06:37,06:40,↓,↓,↓,↓,06:51,↓,06:55,↓,↓,07:03,↓,↓,↓,↓,07:15
5009,普通,06:31,06:33,06:36,06:39,06:42,06:45,06:47,06:51,06:54,06:57,06:59,07:02,07:05,07:08,07:13,07:18,07:21,07:24,07:28,07:30
5205,普通,06:35,06:38,06:41,06:44,06:46,06:50,06:52,06:56,06:59,07:02,07:04,07:07,07:10,07:13,・・,・・,・・,・・,・・,・・
5207,普通,06:40,06:42,06:45,06:48,06:51,06:54,06:56,07:04,07:07,07:11,07:13,07:16,07:20,07:22,・・,・・,・・,・・,・・,・・
4005,区快,06:43,06:46,06:49,06:52,06:55,↓,↓,07:01,07:05,07:07,↓,07:12,07:15,↓,07:21,07:26,07:29,07:32,07:36,07:38
5011,普通,06:48,06:51,06:53,06:56,06:59,07:02,07:04,07:08,07:12,07:15,07:17,07:23,07:26,07:28,07:33,07:38,07:41,07:44,07:48,07:50
5209,普通,06:52,06:55,06:58,07:01,07:03,07:06,07:08,07:15,07:19,07:22,07:24,07:27,07:30,07:32,・・,・・,・・,・・,・・,・・
3005,快速,06:57,06:59,07:02,07:05,07:08,↓,↓,↓,↓,07:18,↓,07:22,↓,↓,07:30,↓,↓,↓,↓,07:42
5211,普通,07:00,07:02,07:05,07:08,07:11,07:14,07:16,07:20,07:23,07:26,07:28,07:31,07:34,07:36,・・,・・,・・,・・,・・,・・
5213,普通,07:05,07:08,07:10,07:13,07:16,07:19,07:21,07:25,07:28,07:31,07:34,07:41,07:44,07:46,・・,・・,・・,・・,・・,・・
4007,区快,07:11,07:13,07:16,07:19,07:22,↓,↓,07:28,07:31,07:34,↓,07:38,07:41,↓,07:47,07:52,07:55,07:58,08:01,08:04
5215,普通,07:13,07:16,07:18,07:21,07:24,07:27,07:29,07:33,07:36,07:39,07:42,07:44,07:47,07:50,・・,・・,・・,・・,・・,・・
5013,普通,07:18,07:21,07:23,07:26,07:29,07:32,07:34,07:38,07:41,07:44,07:47,07:53,07:56,07:59,08:03,08:08,08:11,08:14,08:18,08:20
5217,普通,07:22,07:24,07:27,07:30,07:33,07:36,07:38,07:45,07:48,07:52,07:54,07:57,08:00,08:02,・・,・・,・・,・・,・・,・・
3007,快速,07:25,07:27,07:30,07:33,07:36,↓,↓,↓,↓,07:48,↓,07:52,↓,↓,08:00,↓,↓,↓,↓,08:12
5501,普通,07:28,07:31,07:33,07:36,07:39,07:42,07:44,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・
4201,区快,07:32,07:34,07:37,07:40,07:43,↓,↓,07:50,07:54,07:56,↓,08:00,08:03,↓,・・,・・,・・,・・,・・,・・
5501,普通,07:28,07:31,07:33,07:36,07:39,07:42,07:44,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・
4201,区快,07:32,07:34,07:37,07:40,07:43,↓,↓,07:50,07:54,07:56,↓,08:00,08:03,↓,・・,・・,・・,・・,・・,・・
5219,普通,07:35,07:38,07:40,07:43,07:46,07:49,07:51,07:55,07:58,08:01,08:04,08:10,08:13,08:16,・・,・・,・・,・・,・・,・・
4009,区快,07:39,07:42,07:44,07:47,07:50,↓,↓,07:58,08:01,08:04,↓,08:08,08:11,↓,08:17,08:22,08:25,08:28,08:31,08:34
5221,普通,07:42,07:45,07:47,07:50,07:53,07:56,07:58,08:02,08:05,08:08,08:10,08:17,08:20,08:22,・・,・・,・・,・・,・・,・・
4203,区快,07:46,07:48,07:51,07:54,07:57,↓,↓,08:05,08:08,08:11,↓,08:15,08:18,↓,・・,・・,・・,・・,・・,・・
5223,普通,07:48,07:51,07:54,07:57,07:59,08:02,08:04,08:08,08:11,08:14,08:17,08:19,08:22,08:25,・・,・・,・・,・・,・・,・・
4011,区快,07:52,07:55,07:57,08:00,08:03,↓,↓,08:12,08:15,08:18,↓,08:23,08:26,↓,08:32,08:36,08:40,08:43,08:46,08:48
5503,普通,07:55,07:57,08:00,08:03,08:06,08:09,08:11,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・
5225,普通,07:57,08:00,08:02,08:05,08:08,08:11,08:13,08:17,08:20,08:23,08:25,08:28,08:31,08:33,・・,・・,・・,・・,・・,・・
5227,普通,08:00,08:03,08:05,08:08,08:11,08:14,08:16,08:20,08:23,08:26,08:28,08:31,08:34,08:36,・・,・・,・・,・・,・・,・・
4013,区快,08:03,08:06,08:08,08:11,08:14,↓,↓,08:23,08:26,08:30,↓,08:34,08:37,↓,08:44,08:48,08:52,08:55,08:58,09:01
5229,普通,08:06,08:08,08:11,08:14,08:17,08:20,08:22,08:26,08:29,08:32,08:34,08:37,08:40,08:42,・・,・・,・・,・・,・・,・・
5231,普通,08:09,08:11,08:14,08:17,08:20,08:23,08:25,08:29,08:32,08:35,08:38,08:40,08:43,08:46,・・,・・,・・,・・,・・,・・
5015,普通,08:11,08:14,08:16,08:19,08:22,08:25,08:27,08:32,08:35,08:38,08:41,08:47,08:50,08:53,08:58,09:03,09:06,09:09,09:13,09:15
5505,普通,08:13,08:16,08:19,08:22,08:24,08:27,08:29,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・
5233,普通,08:16,08:19,08:21,08:24,08:27,08:30,08:32,08:38,08:42,08:45,08:47,08:50,08:53,08:56,・・,・・,・・,・・,・・,・・
